place_id,estado,lat,lon,precio_magna,precio_premium,precio_diesel,nombre,cre_id
2708,Colima,19.27372,-103.6685,23.85,28.0,28.0,SERVICIO XACOBEO SA DE CV,PL/1381/EXP/ES/2015
2642,Coahuila,28.65402,-100.5517,18.99,,26.49,SERVICIO 57 DE VILLA DE FUENTE SA DE CV,PL/1380/EXP/ES/2015
2600,Baja California,31.7198,-116.5731,,,25.19,ESTACION RAEL S DE RL DE CV,PL/1379/EXP/ES/2015
3161,Baja California,31.87244,-116.6229,22.69,27.79,26.99,ESTACION LOPEZ CARRANZA SA DE CV,PL/1378/EXP/ES/2015
2681,Colima,19.22135,-103.7137,23.99,28.7,27.0,COMERCIAL LIBRAMIENTO SA DE CV,PL/1377/EXP/ES/2015
2697,Baja California,32.10115,-116.5643,22.98,,,Y SA DE CV,PL/1376/EXP/ES/2015
2723,Baja California,31.89762,-116.5994,22.49,26.99,,LABRADOR AZTECA SA DE CV,PL/1375/EXP/ES/2015
2734,Chiapas,16.7747,-93.18654,23.89,28.25,27.99,GASOLINERA LIBRANORTE SA DE CV,PL/1374/EXP/ES/2015
2693,Baja California,32.42402,-116.9431,23.29,27.39,27.49,EPAY SA DE CV,PL/1373/EXP/ES/2015
16225,Nayarit,20.74134,-105.2612,22.99,29.39,27.5,GRUPO GASOLINERO SAMARA SA DE CV,PL/13725/EXP/ES/2016
16224,Jalisco,20.43613,-103.3614,22.99,28.69,27.49,JORIMAR GASOLINEROS SA DE CV,PL/13724/EXP/ES/2016
16223,Yucatan,20.90713,-89.67767,23.99,27.99,,CARBURANTES DE YUCATAN SA DE CV,PL/13723/EXP/ES/2016
16222,Nayarit,21.48926,-104.9041,23.99,29.49,26.99,JOSE ANTONIO NAYA AMAYA,PL/13722/EXP/ES/2016
16221,Ciudad de Mexico,19.43164,-98.95831,22.69,27.79,,SERVICIO CAMIRRE SA DE CV,PL/13721/EXP/ES/2016
16219,Jalisco,20.64532,-103.3096,23.99,28.99,,GASOLINERIA LEADER DUCE EXPRESS SA DE CV,PL/13720/EXP/ES/2016
2662,Veracruz,19.54987,-96.94771,23.99,29.09,,GRUPO FERCHE SA DE CV,PL/1372/EXP/ES/2015
16216,Baja California,32.5958,-115.4932,21.55,26.49,27.15,ADMINISTRADORA DEL COLORADO S DE RL DE CV,PL/13719/EXP/ES/2016
16215,Aguascalientes,22.40055,-101.8213,24.0,,29.2,MA. TERESA IBARRA SALAS,PL/13718/EXP/ES/2016
16214,Yucatan,21.03599,-89.59489,23.99,27.99,27.0,SC PETROQUIMICA SA DE CV,PL/13717/EXP/ES/2016
16213,Jalisco,20.67408,-103.4122,24.49,29.99,,PETROMAX SA DE CV,PL/13716/EXP/ES/2016
16218,Jalisco,20.6156,-103.0804,24.0,,,SERVICIO GASOLINERO SANTA TERESA SA DE CV,PL/13715/EXP/ES/2016
16217,Hidalgo,20.08594,-98.75995,22.97,27.59,26.97,COMBO HIDALGO SA DE CV,PL/13714/EXP/ES/2016
16220,Tamaulipas,22.31579,-97.8653,23.7,27.4,27.0,DISDEGA SA DE CV,PL/13713/EXP/ES/2016
2643,Jalisco,20.6276,-103.3209,23.99,29.5,28.28,GASOLINERA TAPATIA SA DE CV,PL/1371/EXP/ES/2015
2591,Jalisco,20.54005,-102.5644,24.99,29.99,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,PL/1370/EXP/ES/2015
2687,Baja California,31.82787,-116.5997,22.69,27.29,,IGNACIO FELIX COTA,PL/1369/EXP/ES/2015
20945,Sinaloa,25.80161,-108.949,23.53,26.29,26.52,MULTISERVICIOS LA PILARICA SA DE CV,PL/13684/EXP/ES/2016
20944,Mexico,19.30702,-99.59888,23.79,28.48,27.0,MARIA DEL PILAR CANTAREY GONZALEZ,PL/13683/EXP/ES/2016
20757,Chiapas,16.76569,-93.19053,23.99,28.32,28.28,GASOLINERA MONTAJES SA DE CV,PL/13682/EXP/ES/2016
20942,Nayarit,22.49067,-105.3712,23.99,29.19,27.0,CORPORATIVO LEVAZPER SA DE CV,PL/13681/EXP/ES/2016
20941,Sinaloa,25.12678,-108.017,23.99,28.89,28.26,SERVIAVILAS SA DE CV,PL/13680/EXP/ES/2016
2740,Aguascalientes,21.95089,-102.3237,23.99,28.92,,RED SIGLO XXI SA DE CV,PL/1368/EXP/ES/2015
20940,Queretaro,20.56095,-100.4268,23.99,27.99,,GRUPO GASOLINERO EL JACAL S A P I DE CV,PL/13679/EXP/ES/2016
20853,Sonora,27.9061,-110.9218,23.99,29.99,27.0,GASERVICIO COLINAS SA DE CV,PL/13678/EXP/ES/2016
16130,Sinaloa,24.58989,-107.3793,23.99,28.99,27.99,COMBUSTIBLES SIETE H SA DE CV,PL/13677/EXP/ES/2016
20937,Veracruz,19.50826,-96.87094,23.99,29.09,27.0,GRUPO FERCHE SA DE CV,PL/13676/EXP/ES/2016
16239,Queretaro,20.28631,-100.8236,23.98,29.3,28.31,JOSE JORGE SARABIA SERRANO,PL/13675/EXP/ES/2016
20935,Chihuahua,28.42425,-106.8544,23.99,,27.99,ENERGIA Y SERVICIOS COORDINADOS SA DE CV,PL/13674/EXP/ES/2016
20934,Veracruz,18.11108,-94.56376,22.89,26.59,27.89,ESTACION DE SERVICIO CANTICAS SA DE CV,PL/13673/EXP/ES/2016
20855,Veracruz,20.46197,-97.08229,24.0,28.9,,GASOLINERIAS GOMEZ SA DE CV,PL/13672/EXP/ES/2016
20932,Durango,25.54761,-103.5316,23.99,27.49,27.99,ENERGIA Y SERVICIOS COORDINADOS SA DE CV,PL/13671/EXP/ES/2016
20931,Ciudad de Mexico,19.58813,-99.19423,23.99,,,NACIONAL DE COMBUSTIBLES Y LUBRICANTES SA DE CV,PL/13670/EXP/ES/2016
2628,Baja California,31.74066,-116.5835,22.99,27.39,,SERVICIO MANEADERO SA DE CV,PL/1367/EXP/ES/2015
16132,Hidalgo,21.14966,-98.50806,23.9,27.5,27.99,GUILLERMO AMADOR LARA,PL/13669/EXP/ES/2016
20857,Aguascalientes,21.25496,-102.3444,23.99,28.5,28.0,SERVICIO MARTIN TOSTADO SA DE CV,PL/13668/EXP/ES/2016
20928,Nayarit,21.46852,-104.8493,23.99,29.59,27.79,GRUPO OCTANO SA DE CV,PL/13667/EXP/ES/2016
16180,Chihuahua,28.27612,-105.4864,23.99,28.19,27.99,ACEITES Y COMBUSTIBLES DE MEOQUI SA DE CV,PL/13666/EXP/ES/2016
2588,Baja California,31.88656,-116.6868,22.69,27.49,,FELIX GAS SA DE CV,PL/1366/EXP/ES/2015
2596,Baja California,32.47156,-115.3106,22.28,27.99,26.99,DAGAL SA DE CV,PL/1365/EXP/ES/2015
20864,Guerrero,16.89786,-99.96203,23.82,28.45,27.99,GASOLINERA TAJA PLUS SA DE CV,PL/13644/EXP/ES/2016
16211,Guerrero,16.74504,-99.75542,23.69,27.99,,SERVICIO PLAYA HERMOSA SA DE CV,PL/13643/EXP/ES/2016
20868,Mexico,19.23485,-99.59807,23.45,27.95,,GRUPO ORTIZ - HENRIC SA DE CV,PL/13642/EXP/ES/2016
16206,Tabasco,17.99948,-93.39523,,,27.0,SERVICIO SINERGIA CEIBA SA DE CV,PL/13641/EXP/ES/2016
20859,Ciudad de Mexico,19.64255,-99.1143,23.59,,,SERVICIO GASOLINERO ALDO SA DE CV,PL/13640/EXP/ES/2016
2747,Baja California,32.60773,-114.9274,22.99,27.99,26.99,DAGAL SA DE CV,PL/1364/EXP/ES/2015
20769,Chiapas,16.68978,-93.7197,,28.53,27.0,HUMBERTO DE LA CRUZ MURIAS,PL/13639/EXP/ES/2016
16129,Campeche,18.60558,-90.73528,23.99,28.59,27.89,SERVICIOS ECOLOGICOS MUYIL SA DE CV,PL/13638/EXP/ES/2016
20863,Ciudad de Mexico,19.26262,-98.95477,23.49,,,SERVICIO BRINGOM SA DE CV,PL/13637/EXP/ES/2016
16228,Ciudad de Mexico,19.69813,-99.25231,23.99,28.69,27.0,SERVICIO CUPULA SA DE CV,PL/13636/EXP/ES/2016
16181,Yucatan,20.89227,-89.73672,23.6,27.3,27.3,CARLOS CASTILLO SOLIS,PL/13635/EXP/ES/2016
20867,Sonora,31.00288,-110.2655,23.34,26.48,27.65,ME GASSERVICIO SA DE CV,PL/13634/EXP/ES/2016
20865,Guanajuato,21.10485,-101.7873,,,28.28,GRUPO JGJ-LUAN SA DE CV,PL/13633/EXP/ES/2016
16128,Ciudad de Mexico,19.47434,-99.10038,23.99,29.19,27.49,SERVICIO ADONIS SA DE CV,PL/13632/EXP/ES/2016
20861,Nuevo Leon,26.0351,-98.39278,21.19,24.99,26.99,ESTACIONES DE SERVICIO AGV SA DE CV,PL/13631/EXP/ES/2016
20900,Mexico,18.57202,-100.314,,,27.99,ESTACION DE SERVICIO CRANNI SA DE CV,PL/13630/EXP/ES/2016
2589,Colima,19.81301,-104.1544,23.98,29.25,28.28,GASOLINERA EL LIMON SA DE CV,PL/1363/EXP/ES/2015
20866,Veracruz,18.91609,-96.94807,23.99,,,COMBUSTIBLES LA LUZ SA DE CV,PL/13629/EXP/ES/2016
20822,Hidalgo,20.33759,-99.2051,23.49,28.19,27.49,CONSORCIO GASOLINERO ORBAN SA DE CV,PL/13628/EXP/ES/2016
20764,Puebla,18.96441,-97.90163,23.6,27.79,28.0,ESTACIÓNDESERVICIOSMULTIPLESSANTONIÑODOCTORSADECV,PL/13627/EXP/ES/2016
20858,Veracruz,17.96401,-94.90231,23.99,27.2,27.8,ESTACION DE SERVICIO EL RINCON SA DE CV,PL/13626/EXP/ES/2016
20862,Mexico,19.23041,-99.78105,23.99,28.59,26.99,SERVICIO SERMATO SA DE CV,PL/13625/EXP/ES/2016
20886,Chihuahua,31.69826,-106.4434,19.19,23.39,26.99,SERVICIO EL JARUDO SA DE CV,PL/13624/EXP/ES/2016
20883,Durango,25.39507,-103.4347,,,27.88,GRUPO GASOLINERO ALIMAR SA DE CV,PL/13623/EXP/ES/2016
